locatie,month,hours_count,monthly_total_m3,monthly_mean_m3_per_h,monthly_median_m3_per_h,monthly_std_m3_per_h,expected_hours,percent_coverage,year
KGM00357_COMBINED,1996-01-31,31,252390.6,8141.6322580645165,8316.0,970.8384995755291,744,4.166666666666666,1996
KGM00357_COMBINED,1996-02-29,29,224532.0,7742.482758620689,8316.0,2144.53602409022,696,4.166666666666666,1996
KGM00357_COMBINED,1996-03-31,31,248094.0,8003.032258064516,8316.0,1505.9929057794611,744,4.166666666666666,1996
KGM00357_COMBINED,1996-04-30,30,210276.0,7009.2,8316.0,3217.3713236868944,720,4.166666666666666,1996
KGM00357_COMBINED,1996-05-31,31,248925.6,8029.858064516129,8316.0,1493.5976916546601,744,4.166666666666666,1996
KGM00357_COMBINED,1996-06-30,30,223423.2,7447.4400000000005,8316.0,2532.989995705634,720,4.166666666666666,1996
KGM00357_COMBINED,1996-07-31,31,238114.8,7681.122580645161,8316.0,2090.2957651505812,744,4.166666666666666,1996
KGM00357_COMBINED,1996-08-31,31,220928.4,7126.7225806451615,8316.0,2862.187699261957,744,4.166666666666666,1996
KGM00357_COMBINED,1996-09-30,30,216216.0,7207.2,8316.0,2875.2229346848794,720,4.166666666666666,1996
KGM00357_COMBINED,1996-10-31,31,258390.0,8335.161290322581,8316.0,975.8472249546098,744,4.166666666666666,1996
KGM00357_COMBINED,1996-11-30,30,154440.0,5148.0,0.0,6084.356243395987,720,4.166666666666666,1996
KGM00357_COMBINED,1996-12-31,31,93852.0,3027.483870967742,0.0,4170.2997803592625,744,4.166666666666666,1996
KGM00357_COMBINED,1997-01-31,31,212216.4,6845.6903225806445,8316.0,4017.315315095795,744,4.166666666666666,1997
KGM00357_COMBINED,1997-02-28,28,268646.4,9594.514285714287,10692.0,4314.342235580562,672,4.166666666666666,1997
KGM00357_COMBINED,1997-03-31,31,274725.0,8862.09677419355,8316.0,4373.131634232222,744,4.166666666666666,1997
KGM00357_COMBINED,1997-04-30,30,225957.6,7531.92,8316.0,3663.469043595061,720,4.166666666666666,1997
KGM00357_COMBINED,1997-05-31,31,293436.0,9465.677419354839,10692.0,2135.8436332761944,744,4.166666666666666,1997
KGM00357_COMBINED,1997-06-30,30,232551.0,7751.7,8316.0,4087.430582770247,720,4.166666666666666,1997
KGM00357_COMBINED,1997-07-31,31,236649.6,7633.858064516129,8316.0,3254.4793624351237,744,4.166666666666666,1997
KGM00357_COMBINED,1997-08-31,31,183942.0,5933.612903225807,8316.0,4275.444301258208,744,4.166666666666666,1997
KGM00357_COMBINED,1997-09-30,30,222571.8,7419.0599999999995,8316.0,4289.195442327472,720,4.166666666666666,1997
KGM00357_COMBINED,1997-10-31,31,239976.0,7741.1612903225805,10692.0,4338.162931754823,744,4.166666666666666,1997
KGM00357_COMBINED,1997-11-30,30,247222.8,8240.76,8316.0,3493.4184804749825,720,4.166666666666666,1997
KGM00357_COMBINED,1997-12-31,31,274903.2,8867.845161290323,10692.0,2909.880385037469,744,4.166666666666666,1997
KGM00357_COMBINED,1998-01-31,31,224215.2,7232.748387096774,8316.0,4624.6041104705,744,4.166666666666666,1998
KGM00357_COMBINED,1998-02-28,28,235105.2,8396.614285714286,8335.8,3166.926990903688,672,4.166666666666666,1998
KGM00357_COMBINED,1998-03-31,31,274804.2,8864.651612903226,10692.0,5175.365985375398,744,4.166666666666666,1998
KGM00357_COMBINED,1998-04-30,30,257241.6,8574.72,9890.1,3540.526584095882,720,4.166666666666666,1998
KGM00357_COMBINED,1998-05-31,31,231501.6,7467.793548387097,8316.0,4172.814484408614,744,4.166666666666666,1998
KGM00357_COMBINED,1998-06-30,30,245025.0,8167.5,8316.0,4550.07021597962,720,4.166666666666666,1998
KGM00357_COMBINED,1998-07-31,31,244252.8,7879.122580645161,8316.0,3383.664691692493,744,4.166666666666666,1998
KGM00357_COMBINED,1998-08-31,31,250014.6,8064.987096774194,8316.0,3594.32408070854,744,4.166666666666666,1998
KGM00357_COMBINED,1998-09-30,30,305494.2,10183.140000000001,10692.0,5010.761688991212,720,4.166666666666666,1998
KGM00357_COMBINED,1998-10-31,31,320760.0,10347.09677419355,10692.0,3100.862797726236,744,4.166666666666666,1998
KGM00357_COMBINED,1998-11-30,30,298762.2,9958.74,10692.0,4103.142555164273,720,4.166666666666666,1998
KGM00357_COMBINED,1998-12-31,31,304128.0,9810.58064516129,10692.0,2079.6842192056233,744,4.166666666666666,1998
KGM00357_COMBINED,1999-01-31,31,311315.4,10042.432258064517,10692.0,2788.087579732399,744,4.166666666666666,1999
KGM00357_COMBINED,1999-02-28,28,270864.0,9673.714285714286,10692.0,1197.391450493232,672,4.166666666666666,1999
KGM00357_COMBINED,1999-03-31,31,220750.2,7120.974193548387,8316.0,4904.436547927312,744,4.166666666666666,1999
KGM00357_COMBINED,1999-04-30,30,181150.2,6038.34,7830.9,5261.7191684192285,720,4.166666666666666,1999
KGM00357_COMBINED,1999-05-31,31,231561.0,7469.709677419355,8316.0,4052.1591070567833,744,4.166666666666666,1999
KGM00357_COMBINED,1999-06-30,30,262449.0,8748.3,10692.0,3059.071091259455,720,4.166666666666666,1999
KGM00357_COMBINED,1999-07-31,31,302088.6,9744.793548387095,10692.0,1329.602034178018,744,4.166666666666666,1999
KGM00357_COMBINED,1999-08-31,31,235441.8,7594.896774193548,8771.4,4282.134039275579,744,4.166666666666666,1999
KGM00357_COMBINED,1999-09-30,30,251222.4,8374.08,8316.0,2526.567822492634,720,4.166666666666666,1999
KGM00357_COMBINED,1999-10-31,31,222595.24,7180.491612903225,10692.0,4659.831825297345,744,4.166666666666666,1999
KGM00357_COMBINED,1999-11-30,30,251460.36,8382.011999999999,10692.0,4296.716288958669,720,4.166666666666666,1999
KGM00357_COMBINED,1999-12-31,31,348693.52,11248.178064516129,10692.0,4019.671415083095,744,4.166666666666666,1999
KGM00357_COMBINED,2000-01-31,31,245916.0,7932.774193548387,8316.0,4085.374031914968,744,4.166666666666666,2000
KGM00357_COMBINED,2000-02-29,29,276712.56,9541.812413793103,10692.0,2389.082409394056,696,4.166666666666666,2000
KGM00357_COMBINED,2000-03-31,31,270730.01,8733.226129032259,10692.0,3959.1433180884615,744,4.166666666666666,2000
KGM00357_COMBINED,2000-04-30,30,222165.58000000002,7405.519333333334,8316.0,3968.0537029535876,720,4.166666666666666,2000
KGM00357_COMBINED,2000-05-31,31,243626.19,7858.90935483871,9551.52,4038.0206091466275,744,4.166666666666666,2000
KGM00357_COMBINED,2000-06-30,30,263736.0,8791.2,8316.0,2658.280159595025,720,4.166666666666666,2000
KGM00357_COMBINED,2000-07-31,31,245221.02,7910.355483870967,8316.0,4421.520225152461,744,4.166666666666666,2000
KGM00357_COMBINED,2000-08-31,31,256922.86,8287.834193548386,10692.0,3835.6081046528325,744,4.166666666666666,2000
KGM00357_COMBINED,2000-09-30,30,248164.31,8272.143666666667,9504.0,3595.3750833866848,720,4.166666666666666,2000
KGM00357_COMBINED,2000-10-31,31,237629.7,7665.474193548387,8316.0,3412.795065339429,744,4.166666666666666,2000
KGM00357_COMBINED,2000-11-30,30,312561.51,10418.717,10692.0,4220.062345018425,720,4.166666666666666,2000
KGM00357_COMBINED,2000-12-31,31,247698.04,7990.25935483871,10692.0,4028.0044764183463,744,4.166666666666666,2000
KGM00357_COMBINED,2001-01-31,31,257598.32,8309.623225806452,8316.0,4837.631291225343,744,4.166666666666666,2001
KGM00357_COMBINED,2001-02-28,28,268725.64,9597.344285714285,10236.115,5262.889446633347,672,4.166666666666666,2001
KGM00357_COMBINED,2001-03-31,31,217234.73,7007.571935483871,8316.0,4649.907917537305,744,4.166666666666666,2001
KGM00357_COMBINED,2001-04-30,30,211850.1,7061.67,8316.0,4157.59210486982,720,4.166666666666666,2001
KGM00357_COMBINED,2001-05-31,31,240270.05,7750.646774193548,8316.0,3713.3129978043303,744,4.166666666666666,2001
KGM00357_COMBINED,2001-06-30,30,265016.78,8833.892666666668,10692.0,3047.3175277813893,720,4.166666666666666,2001
KGM00357_COMBINED,2001-07-31,31,227389.81,7335.155161290322,8316.0,3592.9975005853366,744,4.166666666666666,2001
KGM00357_COMBINED,2001-08-31,31,227930.0,7352.580645161291,8316.0,4152.9148138578,744,4.166666666666666,2001
KGM00357_COMBINED,2001-09-30,30,278018.75,9267.291666666666,9504.0,4703.072174618367,720,4.166666666666666,2001
KGM00357_COMBINED,2001-10-31,31,284858.64,9188.988387096775,10692.0,2181.8353842993392,744,4.166666666666666,2001
KGM00357_COMBINED,2001-11-30,30,251464.28,8382.142666666667,8316.0,4341.950348783711,720,4.166666666666666,2001
KGM00357_COMBINED,2001-12-31,31,277040.31,8936.784193548387,10692.0,4216.619372323264,744,4.166666666666666,2001
KGM00357_COMBINED,2002-01-31,31,267870.28,8640.976774193548,8316.0,3594.8834947291284,744,4.166666666666666,2002
KGM00357_COMBINED,2002-02-28,28,258985.33,9249.476071428571,10692.0,4309.265255851792,672,4.166666666666666,2002
KGM00357_COMBINED,2002-03-31,31,203417.0,6561.8387096774195,8316.0,4124.302714492671,744,4.166666666666666,2002
KGM00357_COMBINED,2002-04-30,30,231921.44,7730.714666666667,8316.0,3850.613004867321,720,4.166666666666666,2002
KGM00357_COMBINED,2002-05-31,31,224842.94,7252.9980645161295,8316.0,4338.579791392125,744,4.166666666666666,2002
KGM00357_COMBINED,2002-06-30,30,222103.55,7403.451666666666,10075.735,4396.169079673396,720,4.166666666666666,2002
KGM00357_COMBINED,2002-07-31,31,290180.92,9360.674838709678,10692.0,1905.5865334901853,744,4.166666666666666,2002
KGM00357_COMBINED,2002-08-31,31,312208.06,10071.227741935483,10692.0,4590.3022742311205,744,4.166666666666666,2002
KGM00357_COMBINED,2002-09-30,30,203914.26,6797.142000000001,8316.0,4629.465157395689,720,4.166666666666666,2002
KGM00357_COMBINED,2002-10-31,31,211013.89,6806.899677419356,8316.0,4000.2986353525184,744,4.166666666666666,2002
KGM00357_COMBINED,2002-11-30,30,292248.0,9741.6,10692.0,4449.466218276773,720,4.166666666666666,2002
KGM00357_COMBINED,2002-12-31,31,255522.96,8242.676129032257,8316.0,4438.551194723099,744,4.166666666666666,2002
KGM00357_COMBINED,2003-01-31,31,272487.64,8789.923870967743,8316.0,4740.252466219268,744,4.166666666666666,2003
KGM00357_COMBINED,2003-02-28,28,213337.73,7619.204642857143,8316.0,4321.8480330298025,672,4.166666666666666,2003
KGM00357_COMBINED,2003-03-31,31,220602.71,7116.216451612903,8316.0,3617.9420290919975,744,4.166666666666666,2003
KGM00357_COMBINED,2003-04-30,30,245137.86,8171.262,8316.0,3445.7143201708327,720,4.166666666666666,2003
KGM00357_COMBINED,2003-05-31,31,205473.53,6628.178387096774,10692.0,5094.736512158469,744,4.166666666666666,2003
KGM00357_COMBINED,2003-06-30,30,147027.6,4900.92,5580.145,4260.121926602247,720,4.166666666666666,2003
KGM00357_COMBINED,2003-07-31,31,156163.61,5037.535806451612,3000.71,5087.809005631516,744,4.166666666666666,2003
KGM00357_COMBINED,2003-08-31,31,139135.94,4488.256129032258,3525.41,4371.430576288634,744,4.166666666666666,2003
